1000		431149.225980321
1019.6		444641.193306453
1059.6		472416.487350367
1099.6		500516.430944074
1099.8		500657.446675162
1100		500798.880230639
1100.2		500940.104873922
1100.4		501081.329517204
1140.4		529513.025675309
1154.613	539694.152547684
1154.615	540026.32293647
1154.76	579786.282825329
1154.832	627003.154574132
1156.832	628229.051329726
1156.976	628316.794451292
1157.119	628404.328660664
1185.752	645994.526500512
1214.386	663666.617920488
1243.019	681431.257442497
1300		717098.627446884
1500		846547.517078572
1700		984656.861721019
1900		1133760.0016713
1900.2		1133915.22343159
1900.4		1134070.65410408
1900.6		1134225.87586437
1900.8		1134381.30653686
1901		1134536.52829716
1901.2		1134691.95896965
1901.4		1134847.38964213
1901.6		1135002.82031462
1901.8		1135158.25098711
1902		1135313.6816596
1902.2		1135469.11233209
1902.4		1135624.54300458
1902.6		1135779.97367706
1902.8		1135935.61326175
1903		1136091.04393423
1903.2		1136246.47460672
1903.4		1136402.11419141
1903.6		1136557.54486389
1903.8		1136713.18444858
1904		1136868.82403326
1904.2		1137024.25470575
1904.4		1137179.89429043
1904.6		1137335.53387511
1904.8		1137491.17345979
1905		1137646.81304448
1905.2		1137802.45262916
1905.4		1137958.09221384
1905.6		1138113.73179853
1905.8		1138269.37138321
1906		1138425.21988008
1906.2		1138580.85946477
1906.4		1138736.49904945
1906.6		1138892.34754633
1906.8		1139047.98713101
1907		1139203.83562789
1907.2		1139359.68412476
1907.4		1139515.32370944
1907.6		1139671.17220632
1907.8		1139827.0207032
1908		1139982.86920008
1908.2		1140138.71769695
1908.4		1140294.56619383
1908.6		1140450.41469071
1908.8		1140606.26318758
1909		1140762.11168446
1909.2		1140918.16909353
1909.4		1141074.01759041
1909.6		1141229.86608728
1909.8		1141385.92349635
1910		1141541.77199323
1910.2		1141697.8294023
1910.4		1141853.88681137
1910.6		1142009.73530825
1910.8		1142165.79271732
1911		1142321.85012639
1911.2		1142477.90753546
1911.4		1142633.96494453
1911.6		1142790.02235361
1911.8		1142946.07976268
1912		1143102.13717175
1912.2		1143258.19458082
1912.4		1143414.46090208
1912.6		1143570.51831115
1912.8		1143726.78463242
1913		1143882.84204149
1913.2		1144039.10836276
1913.4		1144195.16577183
1913.6		1144351.43209309
1913.8		1144507.69841436
1914		1144663.75582343
1914.2		1144820.02214469
1914.4		1144976.28846596
1914.6		1145132.55478722
1914.8		1145288.82110849
1915		1145445.08742975
1915.2		1145601.56266321
1915.4		1145757.82898448
1915.6		1145914.09530574
1915.8		1146070.36162701
1916		1146226.83686047
1916.2		1146383.10318173
1916.4		1146539.57841519
1916.6		1146696.05364865
1916.8		1146852.31996992
1917		1147008.79520338
1917.2		1147165.27043684
1917.4		1147321.74567029
1917.6		1147478.22090375
1917.8		1147634.69613721
1918		1147791.17137067
1918.2		1147947.64660413
1918.4		1148104.12183759
1918.6		1148260.59707105
1918.8		1148417.2812167
1919		1148573.75645016
1919.2		1148730.44059582
1919.4		1148886.91582928
1919.6		1149043.59997493
1919.8		1149200.07520839
1920		1149356.75935404
1920.2		1149513.4434997
1920.4		1149670.12764535
1920.6		1149826.811791
1920.8		1149983.28702446
1921		1150140.18008231
1921.2		1150296.86422797
1921.4		1150453.54837362
1921.6		1150610.23251927
1921.8		1150766.91666493
1922		1150923.80972277
1922.2		1151080.49386843
1922.4		1151237.17801408
1922.6		1151394.07107193
1922.8		1151550.96412978
1923		1151707.64827543
1923.2		1151864.54133328
1923.4		1152021.43439113
1923.6		1152178.32744897
1923.8		1152335.22050682
1924		1152492.11356467
1924.2		1152649.00662252
1924.4		1152805.89968036
1924.6		1152962.79273821
1924.8		1153119.68579606
1925		1153276.57885391
1925.2		1153433.68082395
1925.4		1153590.5738818
1925.6		1153747.67585184
1925.8		1153904.56890969
1926		1154061.67087973
1926.2		1154218.77284977
1926.4		1154375.66590762
1926.6		1154532.76787766
1926.8		1154689.8698477
1927		1154846.97181775
1927.2		1155004.07378779
1927.4		1155161.17575783
1927.6		1155318.27772787
1927.8		1155475.37969791
1928		1155632.69058015
1928.2		1155789.79255019
1928.4		1155946.89452023
1928.6		1156104.20540247
1928.8		1156261.30737251
1929		1156418.61825475
1929.2		1156575.92913698
1929.4		1156733.03110703
1929.6		1156890.34198926
1929.8		1157047.6528715
1930		1157204.96375373
1930.2		1157362.27463597
1930.4		1157519.58551821
1930.6		1157676.89640044
1930.8		1157834.20728268
1931		1157991.51816492
1931.2		1158149.03795935
1931.4		1158306.34884158
1931.6		1158463.65972382
1931.8		1158621.17951825
1932		1158778.49040048
1932.2		1158936.01019492
1932.4		1159093.52998935
1932.6		1159250.84087158
1932.8		1159408.36066601
1933		1159565.88046044
1933.2		1159723.40025487
1933.4		1159880.9200493
1933.6		1160038.43984373
1933.8		1160195.95963816
1934		1160353.47943259
1934.2		1160511.20813922
1934.4		1160668.72793365
1934.6		1160826.24772808
1934.8		1160983.9764347
1935		1161141.49622913
1935.2		1161299.22493576
1935.4		1161456.74473019
1935.6		1161614.47343681
1935.8		1161772.20214344
1936		1161929.93085006
1936.2		1162087.65955669
1936.4		1162245.38826331
1936.6		1162403.11696994
1936.8		1162560.84567656
1937		1162718.57438319
1937.2		1162876.30308981
1937.4		1163034.03179644
1937.6		1163191.96941525
1937.8		1163349.69812188
1938		1163507.6357407
1938.2		1163665.36444732
1938.4		1163823.30206614
1938.6		1163981.03077277
1938.8		1164138.96839159
1939		1164296.9060104
1939.2		1164454.84362922
1939.4		1164612.78124804
1939.6		1164770.71886686
1939.8		1164928.65648568
1940		1165086.5941045
1940.2		1165244.53172332
1940.4		1165402.46934214
1940.6		1165560.61587315
1940.731	1165664.23632147
1940.733	1167715.75406857
1940.866	1461269.76831638
1942.866	1463203.87741032
1943.024	1463355.96548771
1943.18	1463507.6357407
1974.607	1493898.09263167
2006.034	1524288.34061044
2037.461	1554678.79750141
2100		1615155.74404078
2200		1711858.06505526

