Temperature (K),Enthalpy (J/mol)
1593.6000000000001,44605.840000000004
1598.0,44680.64
1602.4,44755.44
1606.8000000000002,44830.240000000005
1611.2,44905.04
1615.6000000000001,44979.840000000004
1620.0,45054.64
1624.4,45129.44
1628.8000000000002,45204.240000000005
1633.2,45279.04
1637.6000000000001,45353.840000000004
1642.0,45428.64
1646.4,45503.44
1650.8000000000002,45578.240000000005
1655.2,45653.04
1659.6000000000001,45727.84
1664.0,45802.64
1668.4,45877.44
1672.8000000000002,45952.240000000005
1677.2,46027.04
1681.6000000000001,46101.84
1686.0,46176.64
1690.4,46251.44
1694.8000000000002,46326.240000000005
1699.2,46401.04
1703.6000000000001,46475.84
1708.0,46550.64
1712.4,46625.44
1716.8000000000002,46700.240000000005
1721.2,46775.04
1725.6000000000001,46849.84
1730.0000000000002,46924.64000000001
1734.4,46999.44
1738.8000000000002,47074.240000000005
1743.2,47149.04
1747.6000000000001,47223.84
1752.0000000000002,47298.64000000001
1756.4,47373.44
1760.8000000000002,47448.240000000005
1765.2,47523.04
1769.6000000000001,47597.84
1774.0000000000002,47672.64000000001
1778.4,47747.44
1782.8000000000002,47822.240000000005
1787.2,47897.04
1791.6000000000001,47971.84
1796.0000000000002,48046.64000000001
1800.4,48121.44
1804.8000000000002,48196.240000000005
1809.2,48271.04
1813.6000000000001,48345.84
1818.0000000000002,48420.64000000001
1822.4,48495.44
1826.8000000000002,48570.240000000005
1831.2,48645.04
1835.6000000000001,48719.84
1840.0000000000002,48794.64000000001
1844.4,48869.44
1848.8000000000002,48944.240000000005
1853.2,49019.04
1857.6000000000001,49093.84
1862.0000000000002,49168.64000000001
1866.4,49243.44
1870.8000000000002,49318.240000000005
1875.2,49393.04
1879.6000000000001,49467.84
1884.0000000000002,49542.64000000001
1888.4,49617.44
1892.8000000000002,49692.240000000005
1897.2,49767.04
1901.6000000000001,49841.84
1906.0000000000002,49916.64000000001
1910.4,49991.44
1914.8000000000002,50066.240000000005
1919.2,50141.04
1923.6000000000001,50215.84
1928.0000000000002,50290.64000000001
1932.4,50365.44
1936.8000000000002,50440.240000000005
1941.2,50515.04
1945.6000000000001,50589.84
1950.0000000000002,50664.64000000001
1954.4,50739.44
1958.8000000000002,50814.240000000005
1963.2,50889.04
1967.6000000000001,50963.84
1972.0000000000002,51038.64000000001
1976.4,51113.44
1980.8000000000002,51188.240000000005
1985.2,51263.04
1989.6000000000001,51337.84
1994.0000000000002,51412.64000000001
1998.4,51487.44
2002.8000000000002,51562.240000000005
2007.2,51637.04
2011.6000000000001,51711.84
2016.0000000000002,51786.64000000001
2020.4,51861.44
2024.8000000000002,51936.240000000005
2029.2,52011.04
2033.6000000000001,52085.84
2038.0000000000002,52160.64000000001
2042.4,52235.44
2046.8000000000002,52310.240000000005
2051.2,52385.03999999999
2055.6000000000004,52459.840000000004
2060.0,52534.64
2064.4,52609.44
2068.8,52684.240000000005
2073.2,52759.03999999999
2077.6000000000004,52833.840000000004
2082.0,52908.64
2086.4,52983.44
2090.8,53058.240000000005
2095.2,53133.03999999999
2099.6000000000004,53207.840000000004
2104.0,53282.64
2108.4,53357.44
2112.8,53432.240000000005
2117.2,53507.03999999999
2121.6000000000004,53581.840000000004
2126.0,53656.64
2130.4,53731.44
2134.8,53806.240000000005
2139.2,53881.03999999999
2143.6000000000004,53955.840000000004
2148.0,54030.64
2152.4,54105.44
2156.8,54180.240000000005
2161.2,54255.03999999999
2165.6000000000004,54329.840000000004
2170.0,54404.64
2174.4,54479.44
2178.8,54554.240000000005
2183.2,54629.03999999999
2187.6000000000004,54703.840000000004
2192.0,54778.64
2196.4,54853.44
